year,month,country,num_sources,num_articles,total_words
2011,10,CA,346,7311,5010564
2011,10,GB,557,7444,5232232
2011,10,GH,5,169,142817
2011,10,HK,9,48,43340
2011,10,IE,49,1266,773903
2011,10,IN,150,5809,3325420
2011,10,JM,2,411,285643
2011,10,KE,4,80,55068
2011,10,LK,9,248,195750
2011,10,MY,10,112,71460
2011,10,NG,13,551,482113
2011,10,NZ,56,1246,651642
2011,10,PH,15,777,423863
2011,10,PK,22,657,447234
2011,10,SG,13,250,119605
2011,10,TZ,3,82,44611
2011,10,US,1357,8218,7111808
2011,10,ZA,49,2044,1189249
2011,11,AU,122,1963,1405703
2011,11,BD,1,89,52998
2011,11,CA,354,7902,5340865
2011,11,GB,591,7232,4992952
2011,11,GH,5,178,117061
2011,11,HK,7,63,56442
2011,11,IE,48,1222,688063
2011,11,IN,153,5436,3086533
2011,11,JM,3,396,258002
2011,11,KE,7,109,68383
2011,11,LK,8,200,164284
2011,11,MY,11,188,102281
2011,11,NG,18,502,436559
2011,11,NZ,52,1171,646586
2011,11,PH,18,659,385849
2011,11,PK,21,504,319545
2011,11,SG,13,262,117062
2011,11,TZ,3,79,46584
2011,11,US,1380,8248,7216513
2011,11,ZA,48,2026,1161249
2011,12,AU,109,1430,946183
2011,12,BD,2,102,77751
2011,12,CA,349,7226,5116203
2011,12,GB,550,6399,4304822
2011,12,GH,4,172,144728
2011,12,HK,11,43,34095
2011,12,IE,45,977,537064
2011,12,IN,147,5310,3114683
2011,12,JM,2,373,225013
2011,12,KE,8,92,62652
2011,12,LK,10,189,144770
2011,12,MY,12,306,161892
2011,12,NG,17,530,477908
2011,12,NZ,54,1045,539630
2011,12,PH,16,559,338421
2011,12,PK,23,797,568846
2011,12,SG,17,305,125002
2011,12,TZ,2,93,58948
2011,12,US,1371,7931,6974627
2011,12,ZA,54,1563,950544
2012,1,AU,129,2023,1208059
2012,1,BD,2,157,95907
2012,1,CA,323,8175,5680115
2012,1,GB,631,8717,5887089
2012,1,GH,5,197,160815
2012,1,HK,9,51,42675
2012,1,IE,48,1419,769714
2012,1,IN,154,6072,3730135
2012,1,JM,2,402,259309
2012,1,KE,8,225,113638
2012,1,LK,9,238,192358
2012,1,MY,9,444,229158
2012,1,NG,18,452,420456
2012,1,NZ,52,1204,625821
2012,1,PH,14,591,342228
2012,1,PK,22,1086,758808
2012,1,SG,11,324,142219
2012,1,TZ,2,90,48039
2012,1,US,1446,8903,7799301
2012,1,ZA,53,2059,1303027
2012,2,AU,121,2157,1539287
2012,2,BD,2,149,88050
2012,2,CA,363,8114,5826306
2012,2,GB,606,7696,5295162
2012,2,GH,5,175,133553
2012,2,HK,8,50,44505
2012,2,IE,51,1402,807889
2012,2,IN,150,5556,3505760
2012,2,JM,2,384,254049
